time,open,high,low,close,tick_volume,spread,real_volume
2019-01-15 15:15:00,1287.64,1288.64,1287.41,1288.39,1586,3,0
2019-01-15 15:45:00,1288.38,1288.39,1288.04,1288.14,821,3,0
2019-01-15 16:15:00,1288.14,1289.01,1287.99,1288.98,1045,3,0
2019-01-15 16:45:00,1288.98,1289.71,1288.89,1289.15,930,3,0
2019-01-15 17:15:00,1289.14,1290.81,1288.82,1290.79,1959,3,0
2019-01-15 17:45:00,1290.78,1292.73,1290.72,1292.35,3206,3,0
2019-01-15 18:15:00,1292.37,1292.57,1291.3,1292.15,2022,3,0
2019-01-15 18:45:00,1292.15,1292.16,1290.29,1290.32,2448,3,0
2019-01-15 19:15:00,1290.31,1291.58,1290.27,1291.18,3390,3,0
2019-01-15 19:45:00,1291.19,1291.5,1290.98,1291.0,1087,3,0
2019-01-15 20:15:00,1290.99,1291.35,1290.98,1291.18,1041,3,0
2019-01-15 20:45:00,1291.18,1291.19,1290.22,1290.53,1389,3,0
2019-01-15 21:15:00,1290.53,1291.14,1290.26,1291.11,1333,3,0
2019-01-15 21:45:00,1291.11,1292.2,1290.75,1291.85,1393,3,0
2019-01-15 22:15:00,1291.85,1292.58,1291.27,1291.55,2027,3,0
2019-01-15 22:45:00,1291.57,1291.63,1290.54,1291.45,2620,2,0
2019-01-15 23:15:00,1291.45,1291.63,1290.28,1291.02,4257,2,0
2019-01-15 23:45:00,1291.02,1293.5,1291.0,1293.22,3927,2,0
2019-01-16 00:15:00,1293.21,1293.57,1292.08,1293.37,4211,2,0
2019-01-16 00:45:00,1293.36,1294.17,1292.81,1293.74,2788,2,0
2019-01-16 01:15:00,1293.75,1294.58,1293.16,1293.74,2542,2,0
2019-01-16 01:45:00,1293.75,1294.12,1293.19,1293.86,2621,2,0
2019-01-16 02:15:00,1293.86,1294.66,1293.67,1294.05,3253,2,0
2019-01-16 02:45:00,1294.04,1295.64,1293.71,1295.2,3409,2,0
2019-01-16 03:15:00,1295.19,1295.19,1294.21,1294.95,2816,2,0
2019-01-16 03:45:00,1294.95,1295.9,1294.94,1295.68,3178,2,0
2019-01-16 04:15:00,1295.68,1295.68,1293.38,1294.14,4538,2,0
2019-01-16 04:45:00,1294.11,1295.32,1293.64,1295.32,3676,2,0
2019-01-16 05:15:00,1295.32,1295.76,1293.87,1293.96,3881,2,0
2019-01-16 05:45:00,1293.96,1293.96,1288.5,1289.88,8248,2,0
2019-01-16 06:15:00,1289.87,1292.88,1289.58,1292.15,4707,2,0
2019-01-16 06:45:00,1292.15,1293.16,1291.57,1292.19,5911,2,0
2019-01-16 07:15:00,1292.18,1292.92,1291.11,1291.24,4218,2,0
2019-01-16 07:45:00,1291.24,1291.45,1290.02,1290.52,5560,2,0
2019-01-16 08:15:00,1290.52,1290.83,1289.36,1290.73,4405,2,0
2019-01-16 08:45:00,1290.74,1290.84,1289.94,1290.65,2862,2,0
2019-01-16 09:15:00,1290.65,1291.05,1290.18,1290.55,1871,2,0
2019-01-16 09:45:00,1290.54,1292.15,1290.54,1291.74,1992,2,0
2019-01-16 10:15:00,1291.73,1292.06,1290.78,1291.0,2782,2,0
2019-01-16 10:45:00,1291.03,1291.73,1290.74,1291.65,1904,2,0
2019-01-16 11:15:00,1291.64,1292.29,1291.13,1291.59,1632,2,0
2019-01-16 11:45:00,1291.57,1292.37,1291.47,1291.91,1736,2,0
2019-01-16 12:15:00,1291.91,1291.96,1291.07,1291.42,1148,3,0
2019-01-16 12:45:00,1291.42,1291.91,1291.27,1291.59,1339,3,0
2019-01-16 13:15:00,1291.59,1291.95,1291.57,1291.78,472,3,0
2019-01-16 13:45:00,1291.78,1292.04,1291.37,1291.54,663,3,0
2019-01-16 15:15:00,1291.92,1292.56,1291.7,1292.19,731,3,0
2019-01-16 15:45:00,1292.19,1292.2,1291.39,1291.55,867,3,0
2019-01-16 16:15:00,1291.55,1291.76,1290.63,1290.88,1883,3,0
2019-01-16 16:45:00,1290.88,1291.27,1290.41,1291.25,1568,3,0
2019-01-16 17:15:00,1291.26,1292.49,1290.96,1292.31,2641,3,0
2019-01-16 17:45:00,1292.31,1293.42,1292.19,1293.05,2639,3,0
2019-01-16 18:15:00,1293.05,1293.4,1292.37,1292.66,1806,3,0
2019-01-16 18:45:00,1292.67,1292.8,1292.07,1292.65,2257,3,0
2019-01-16 19:15:00,1292.63,1292.72,1291.54,1291.74,2236,3,0
2019-01-16 19:45:00,1291.75,1291.89,1291.26,1291.35,1612,3,0
2019-01-16 20:15:00,1291.35,1291.64,1291.13,1291.18,1194,3,0
2019-01-16 20:45:00,1291.18,1291.4,1291.1,1291.28,1010,3,0
2019-01-16 21:15:00,1291.27,1291.27,1290.22,1290.48,2180,3,0
2019-01-16 21:45:00,1290.47,1291.59,1290.44,1291.31,2458,3,0
2019-01-16 22:15:00,1291.31,1291.35,1290.22,1290.26,1936,3,0
2019-01-16 22:45:00,1290.29,1290.86,1289.92,1290.76,1889,2,0
2019-01-16 23:15:00,1290.76,1290.99,1290.06,1290.72,2141,2,0
2019-01-16 23:45:00,1290.72,1291.27,1289.41,1289.66,2724,2,0
2019-01-17 00:15:00,1289.66,1289.83,1287.9,1288.0,5187,2,0
2019-01-17 00:45:00,1288.01,1289.07,1287.93,1288.94,2863,2,0
2019-01-17 01:15:00,1288.94,1289.57,1287.86,1288.08,3745,2,0
2019-01-17 01:45:00,1288.08,1289.19,1287.58,1288.76,2478,2,0
2019-01-17 02:15:00,1288.79,1289.46,1288.47,1288.96,2176,2,0
2019-01-17 02:45:00,1288.96,1289.61,1288.46,1289.1,2605,2,0
2019-01-17 03:15:00,1289.1,1290.05,1288.96,1289.44,2088,2,0
2019-01-17 03:45:00,1289.43,1291.28,1289.11,1291.19,3176,2,0
2019-01-17 04:15:00,1291.19,1292.1,1290.51,1291.27,3490,2,0
2019-01-17 04:45:00,1291.25,1291.37,1290.76,1290.88,2034,2,0
2019-01-17 05:15:00,1290.89,1290.98,1288.35,1288.41,3897,2,0
2019-01-17 05:45:00,1288.41,1293.35,1288.4,1293.0,6816,2,0
2019-01-17 06:15:00,1293.01,1293.87,1292.13,1293.77,4561,2,0
2019-01-17 06:45:00,1293.77,1294.66,1292.71,1294.46,6578,2,0
2019-01-17 07:15:00,1294.43,1294.73,1290.75,1291.57,8215,2,0
2019-01-17 07:45:00,1291.57,1292.63,1290.7,1291.23,6018,2,0
2019-01-17 08:15:00,1291.23,1291.23,1288.51,1288.73,8499,2,0
2019-01-17 08:45:00,1288.72,1288.73,1287.72,1287.96,5266,2,0
2019-01-17 09:15:00,1287.96,1289.15,1286.76,1288.16,5428,2,0
2019-01-17 09:45:00,1288.17,1288.34,1287.17,1288.04,3782,2,0
2019-01-17 10:15:00,1288.04,1288.58,1287.13,1288.45,4029,2,0
2019-01-17 10:45:00,1288.44,1288.81,1287.9,1288.74,2771,2,0
2019-01-17 11:15:00,1288.74,1290.3,1288.45,1290.28,2390,3,0
2019-01-17 11:45:00,1290.29,1290.58,1289.28,1290.37,6626,3,0
2019-01-17 12:15:00,1290.42,1290.87,1289.57,1289.69,4000,3,0
2019-01-17 12:45:00,1289.69,1289.85,1288.94,1289.07,2579,3,0
2019-01-17 13:15:00,1289.08,1289.51,1289.08,1289.29,1149,3,0
2019-01-17 13:45:00,1289.24,1289.42,1288.95,1289.35,901,3,0
2019-01-17 15:15:00,1289.77,1289.88,1289.21,1289.55,826,3,0
2019-01-17 15:45:00,1289.55,1289.86,1289.28,1289.63,666,3,0
2019-01-17 16:15:00,1289.63,1290.69,1289.52,1290.63,1414,3,0
2019-01-17 16:45:00,1290.63,1290.91,1290.36,1290.72,1449,3,0
2019-01-17 17:15:00,1290.72,1291.21,1289.7,1290.24,2713,3,0
2019-01-17 17:45:00,1290.25,1290.92,1289.11,1289.23,2842,3,0
2019-01-17 18:15:00,1289.23,1289.63,1289.08,1289.15,2426,3,0
2019-01-17 18:45:00,1289.11,1290.17,1289.11,1289.52,2622,3,0
2019-01-17 19:15:00,1289.52,1289.58,1288.37,1289.07,2703,3,0
2019-01-17 19:45:00,1289.06,1289.28,1288.68,1288.83,1835,3,0
2019-01-17 20:15:00,1288.83,1289.84,1288.81,1289.82,1184,3,0
2019-01-17 20:45:00,1289.82,1289.83,1289.41,1289.66,1261,3,0
2019-01-17 21:15:00,1289.67,1290.64,1289.56,1290.53,1134,3,0
2019-01-17 21:45:00,1290.54,1291.98,1290.41,1291.67,2479,3,0
2019-01-17 22:15:00,1291.67,1292.74,1291.53,1291.54,2512,3,0
2019-01-17 22:45:00,1291.53,1291.66,1290.92,1291.06,2131,2,0
2019-01-17 23:15:00,1291.03,1292.1,1290.94,1291.48,3460,2,0
2019-01-17 23:45:00,1291.47,1291.49,1289.43,1289.76,4220,2,0
2019-01-18 00:15:00,1289.77,1291.69,1289.74,1291.64,4832,2,0
2019-01-18 00:45:00,1291.64,1291.74,1290.23,1290.84,3365,2,0
2019-01-18 01:15:00,1290.84,1290.86,1290.04,1290.26,2526,2,0
2019-01-18 01:45:00,1290.26,1290.29,1289.46,1289.9,2484,2,0
2019-01-18 02:15:00,1289.88,1289.89,1289.19,1289.52,2084,2,0
2019-01-18 02:45:00,1289.51,1290.32,1289.43,1289.43,1889,2,0
2019-01-18 03:15:00,1289.43,1289.63,1288.88,1289.27,2431,2,0
2019-01-18 03:45:00,1289.27,1289.27,1288.45,1288.77,2498,2,0
2019-01-18 04:15:00,1288.77,1289.66,1287.91,1288.29,3015,2,0
2019-01-18 04:45:00,1288.3,1289.49,1288.26,1288.91,3221,2,0
2019-01-18 05:15:00,1288.9,1290.86,1288.9,1290.76,4091,2,0
2019-01-18 05:45:00,1290.76,1290.84,1289.96,1290.18,3674,2,0
2019-01-18 06:15:00,1290.18,1291.94,1290.18,1291.19,4080,2,0
2019-01-18 06:45:00,1291.19,1292.58,1290.97,1292.53,4716,2,0
2019-01-18 07:15:00,1292.53,1293.83,1292.24,1293.69,4954,2,0
2019-01-18 07:45:00,1293.69,1295.0,1292.89,1293.02,5837,2,0
2019-01-18 08:15:00,1293.02,1294.63,1292.99,1294.32,5297,2,0
2019-01-18 08:45:00,1294.29,1294.98,1293.75,1294.71,3792,2,0
2019-01-18 09:15:00,1294.71,1294.99,1294.26,1294.71,3551,2,0
2019-01-18 09:45:00,1294.7,1294.81,1293.45,1293.84,2877,2,0
2019-01-18 10:15:00,1293.84,1294.15,1293.31,1293.8,2919,2,0
2019-01-18 10:45:00,1293.78,1293.86,1292.84,1293.47,2366,2,0
2019-01-18 11:15:00,1293.44,1293.9,1292.25,1292.31,3067,3,0
2019-01-18 11:45:00,1292.34,1293.57,1292.32,1293.24,2657,2,0
2019-01-18 12:15:00,1293.24,1293.77,1292.61,1292.82,2551,3,0
2019-01-18 12:45:00,1292.83,1293.42,1292.53,1293.13,2723,3,0
2019-01-18 13:15:00,1293.13,1293.54,1293.02,1293.26,930,3,0
2019-01-18 13:45:00,1293.26,1293.81,1293.24,1293.49,783,3,0
2019-01-18 15:15:00,1294.05,1294.12,1293.5,1293.71,1181,0,0
